env_step,mean_ep_return,mean_ep_score,mean_ep_length,mean_merges,mean_loss,epsilon,lr
5000,2090.75,nan,196.2,,,0.9525,3.00e-03
10000,2136.63,nan,199.5,,10.099119,0.9050,3.00e-03
15000,2165.62,nan,200.8,,10.213768,0.8575,3.00e-03
20000,2219.20,nan,204.1,,10.186537,0.8100,3.00e-03
25000,2267.82,nan,207.7,,11.290682,0.7625,2.99e-03
30000,2298.79,nan,208.8,,11.360490,0.7150,2.99e-03
35000,2330.80,nan,212.2,,11.431115,0.6675,2.98e-03
40000,2287.92,nan,210.2,,12.420618,0.6200,2.97e-03
45000,2248.63,nan,208.9,,12.767686,0.5725,2.97e-03
50000,2284.81,nan,211.0,,12.611633,0.5250,2.96e-03
55000,2345.26,nan,214.3,,13.380562,0.4775,2.95e-03
60000,2368.32,nan,215.2,,14.437925,0.4300,2.94e-03
65000,2421.06,nan,216.7,,13.975529,0.3825,2.92e-03
70000,2410.56,nan,215.3,,13.718682,0.3350,2.91e-03
75000,2422.28,nan,215.4,,13.666431,0.2875,2.90e-03
